,"County, State",fips,TimePeriod,CL_UNIT,DataValue
0,"Autauga, AL",1001,2021,Dollars,"48,347"
1,"Baldwin, AL",1003,2021,Dollars,"54,659"
2,"Barbour, AL",1005,2021,Dollars,"40,428"
3,"Bibb, AL",1007,2021,Dollars,"36,892"
4,"Blount, AL",1009,2021,Dollars,"42,634"
5,"Bullock, AL",1011,2021,Dollars,"33,267"
6,"Butler, AL",1013,2021,Dollars,"46,050"
7,"Calhoun, AL",1015,2021,Dollars,"42,621"
8,"Chambers, AL",1017,2021,Dollars,"39,728"
9,"Cherokee, AL",1019,2021,Dollars,"43,719"
10,"Chilton, AL",1021,2021,Dollars,"41,748"
11,"Choctaw, AL",1023,2021,Dollars,"44,241"
12,"Clarke, AL",1025,2021,Dollars,"45,232"
13,"Clay, AL",1027,2021,Dollars,"38,705"
14,"Cleburne, AL",1029,2021,Dollars,"42,836"
15,"Coffee, AL",1031,2021,Dollars,"49,196"
16,"Colbert, AL",1033,2021,Dollars,"44,279"
17,"Conecuh, AL",1035,2021,Dollars,"41,656"
18,"Coosa, AL",1037,2021,Dollars,"38,275"
19,"Covington, AL",1039,2021,Dollars,"41,458"
20,"Crenshaw, AL",1041,2021,Dollars,"46,038"
21,"Cullman, AL",1043,2021,Dollars,"46,061"
22,"Dale, AL",1045,2021,Dollars,"43,916"
23,"Dallas, AL",1047,2021,Dollars,"41,850"
24,"DeKalb, AL",1049,2021,Dollars,"40,026"
25,"Elmore, AL",1051,2021,Dollars,"47,381"
26,"Escambia, AL",1053,2021,Dollars,"39,363"
27,"Etowah, AL",1055,2021,Dollars,"42,558"
28,"Fayette, AL",1057,2021,Dollars,"41,672"
29,"Franklin, AL",1059,2021,Dollars,"40,810"
30,"Geneva, AL",1061,2021,Dollars,"41,569"
31,"Greene, AL",1063,2021,Dollars,"40,461"
32,"Hale, AL",1065,2021,Dollars,"44,085"
33,"Henry, AL",1067,2021,Dollars,"51,184"
34,"Houston, AL",1069,2021,Dollars,"50,976"
35,"Jackson, AL",1071,2021,Dollars,"43,565"
36,"Jefferson, AL",1073,2021,Dollars,"62,371"
37,"Lamar, AL",1075,2021,Dollars,"40,114"
38,"Lauderdale, AL",1077,2021,Dollars,"44,804"
39,"Lawrence, AL",1079,2021,Dollars,"42,996"
40,"Lee, AL",1081,2021,Dollars,"45,002"
41,"Limestone, AL",1083,2021,Dollars,"50,326"
42,"Lowndes, AL",1085,2021,Dollars,"48,852"
43,"Macon, AL",1087,2021,Dollars,"38,412"
44,"Madison, AL",1089,2021,Dollars,"59,852"
45,"Marengo, AL",1091,2021,Dollars,"47,008"
46,"Marion, AL",1093,2021,Dollars,"40,939"
47,"Marshall, AL",1095,2021,Dollars,"44,416"
