State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Total Tests,Tests/1 mil population,Population
Alabama,1587224,20776,1515508,50940,323713,8795798,1793895,4903185
Alaska,288500,1397,285393,1710,394371,4648381,6354197,731545
Arizona,2384521,32311,2329469,22741,327602,21654295,2975015,7278717
Arkansas,989853,12729,970547,6577,328004,7874310,2609285,3017804
California,11846749,98873,11410470,337406,299825,193239047,4890614,39512223
Colorado,1736198,14582,1685991,35625,301489,20998161,3646314,5758736
Connecticut,956351,11858,919568,24925,268240,16384702,4595619,3565287
Delaware,323151,3218,314916,5017,331858,1026007,1053651,973764
Florida,7338503,83906,7194763,59834,341680,65126036,3032258,21477737
Georgia,2984421,41417,2914300,28704,281087,28006378,2637775,10617423
Hawaii,373514,1765,366574,5175,263805,4101166,2896566,1415872
Idaho,512726,5320,500916,6490,286910,3236123,1810859,1787065
Illinois,3969832,40678,3855438,73716,313280,57898053,4569040,12671821
Indiana,2010174,25558,1776269,208347,298590,21512168,3195405,6732219
Iowa,1028015,10463,993753,23799,325830,8492575,2691723,3155070
Kansas,919598,9753,894121,15724,315654,5991775,2056687,2913314
Kentucky,1672321,17734,1616177,38410,374316,13675281,3060940,4467673
Louisiana,1521203,18394,1485223,17586,327225,17545616,3774230,4648794
Maine,308350,2812,300470,5068,229391,5895547,4385876,1344212
Maryland,1330123,16074,1282837,31212,220012,24090277,3984709,6045680
Massachusetts,2166835,23097,2127538,16200,314376,49044028,7115561,6892503
Michigan,3008261,41001,2918698,48562,301222,28265982,2830318,9986857
Mississippi,960923,13112,931685,16126,322875,7063623,2373410,2976149
Missouri,1724955,22208,1673569,29178,281055,14632189,2384091,6137428
Montana,323951,3623,319194,1134,303104,2789012,2609534,1068778
Nebraska,553378,4684,535671,13023,286071,5506012,2846355,1934408
Nevada,878223,11778,848791,17654,285123,6875532,2232203,3080156
New Hampshire,370096,2879,364210,3007,272187,4845153,3563370,1359711
New Jersey,2958721,35621,2789073,134027,333107,33202632,3738113,8882190
New Mexico,661596,8859,637113,15624,315522,8344841,3979743,2096829
New York,6806108,75705,6667047,63356,349864,125820459,6467734,19453561
North Dakota,280043,2414,276916,713,367481,2462480,3231338,762062
Ohio,3321463,41033,3233780,46650,284150,24522835,2097923,11689100
Oklahoma,1255673,15397,1231114,9162,317332,5473577,1383274,3956971
Oregon,942121,9024,912323,20774,223371,12508506,2965691,4217737
Pennsylvania,3431861,49034,3351897,30930,268072,29858030,2332296,12801989
Rhode Island,441692,3777,433188,4727,416942,8285215,7820955,1059361
South Carolina,1760204,18811,1711470,29923,341873,18219458,3538642,5148714
Texas,8235020,92462,8018784,123774,284007,73904384,2548789,28995881
Utah,1077051,5206,1063561,8284,335953,9406861,2934181,3205958
Vermont,148835,791,146273,1771,238522,4162820,6671304,623989
Virginia,2213867,22687,2142475,48705,259371,19172533,2246206,8535519
Washington,1889201,15123,1854368,19710,248093,18265316,2398631,7614893
West Virginia,628901,7749,619983,1169,350920,7203896,4019702,1792147
Wisconsin,1969998,15897,1923790,30311,338346,18908327,3247495,5822434
Wyoming,182198,1950,178987,1261,314808,1549423,2677147,578759
